n_features,window,accuracy,features
10,30,74.36,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
10,100,74.83,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
15,30,75.52,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
15,100,76.61,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
20,30,73.66,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
20,100,75.68,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
25,30,72.89,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
25,100,74.59,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
30,30,72.27,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
30,100,74.59,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
40,30,72.58,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
40,100,74.83,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
50,30,72.58,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
50,100,74.13,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
60,30,71.73,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
60,100,74.52,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
75,30,72.04,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
75,100,74.98,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
89,30,72.58,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
89,100,75.14,"logret_240h,m_sp500_vol20d,m_vix_zscore,m_sp500_zscore,logret_24h..."
